location,name,link,date,price
Kibe (Batumi),KIBE: MAMAFLEX // INKEDMANIAC // SKAZZ // TRIGGER // GORCI / M05,https://tkt.ge/en/show/23669,31May,From-40₾
"G17, BATUMI",G17 2025 Summer Season Opening,https://tkt.ge/en/show/23529,31May,From-150₾
Panorama Restaurant (Batumi),ROOFTOP 34 - Emmanuel Jal,https://tkt.ge/en/show/23583,31May,From-150₾
Circus Club (Batumi),Shenki in Batumi,https://tkt.ge/en/show/21784,02Jun,From-90₾
Batumi Summer Theatre,MAD MOZART: UNIQUE SYMPHO SHOW,https://tkt.ge/en/show/23376,06Jun,From-20₾
Batumi Summer Theatre,GEORGIAN NATIONAL DANCE STATE ACADEMIC ENSEMBLE „BATUMI”,https://tkt.ge/en/show/22168,08Jun,From-20₾
Batumi Summer Theatre,"Batumi Cultural Center ""Jazz Big Band"" – Sulkhan Devadze and Quartet",https://tkt.ge/en/show/22169,14Jun,From-20₾
Batumi Summer Theatre,Let's Give a Happy Day to People With Disabilities and Their Parents,https://tkt.ge/en/show/23640,17Jun,From-50₾
Batumi Summer Theatre,Night of Georgian Folk and Contemporary Music,https://tkt.ge/en/show/22167,20Jun,From-20₾
Soho Batumi,"SOHO BATUMI - NATO GELASHVILI, Giorgi & Luka Chokhonelidze",https://tkt.ge/en/show/23574,20Jun,From-50₾
Soho Batumi,SOHO BATUMI - გამოუვალი მდგომარეობა,https://tkt.ge/en/show/23626,21Jun,From-50₾
Soho Batumi,"SOHO BATUMI – გიორგი ცხადაძე, თაკო & band 4+2",https://tkt.ge/en/show/23651,22Jun,From-50₾
Soho Batumi,SOHO BATUMI – RIO-CAIPIRINHA PARTY,https://tkt.ge/en/show/23703,23Jun,From-50₾
Batumi Summer Theatre,GEORGIAN NATIONAL DANCE STATE ACADEMIC ENSEMBLE „BATUMI”,https://tkt.ge/en/show/23193,26Jun,From-20₾
Soho Batumi,SOHO BATUMI - IV DASI,https://tkt.ge/en/show/23714,26Jun,From-40₾
Soho Batumi,SOHO BATUMI - LEXSENI,https://tkt.ge/en/show/23726,27Jun,From-50₾
Soho Batumi,SOHO BATUMI - SAKHE,https://tkt.ge/en/show/23742,28Jun,From-50₾
Soho Batumi,SOHO BATUMI - MOHAMED IBRAHIM,https://tkt.ge/en/show/23598,29Jun,From-50₾
Batumi Summer Theatre,GEORGIAN NATIONAL DANCE STATE ACADEMIC ENSEMBLE „BATUMI”,https://tkt.ge/en/show/23192,06Jul,From-20₾
Batumi Summer Theatre,GEORGIAN NATIONAL DANCE STATE ACADEMIC ENSEMBLE „BATUMI”,https://tkt.ge/en/show/23191,13Jul,From-20₾
Batumi Summer Theatre,"EXPERIMENTAL FOLK/ROCK ""GeoPlanet""",https://tkt.ge/en/show/22166,20Jul,From-20₾
Soho Batumi,SOHO BATUMI - CHINAU,https://tkt.ge/en/show/23633,22Jul,From-50₾
Soho Batumi,SOHO BATUMI - JOEZI,https://tkt.ge/en/show/23772,24Jul,From-50₾
Batumi Summer Theatre,GEORGIAN NATIONAL DANCE STATE ACADEMIC ENSEMBLE „BATUMI”,https://tkt.ge/en/show/23190,26Jul,From-20₾
Circus Arena (Batumi),Sepultura in Batumi,https://tkt.ge/en/show/22141,30Jul,From-120₾
Soho Batumi,WILLY WILLIAM - SOHO BATUMI,https://tkt.ge/en/show/23691,06Aug,From-50₾
Batumi Summer Theatre,The Symphonians. Hans Zimmer,https://tkt.ge/en/show/23383,22Aug,From-40₾
Panorama Restaurant (Batumi),For the First Time in Sakartvelo: Andrey Makarevich and Einat Klein Invite You to an Evening of Wine and Jazz,https://tkt.ge/en/show/23585,24Aug,From-170₾
